error_code,amount,retry_count,gateway_health,time_since_failure,customer_history,previous_attempt_result,recovered
E03,7235.21,2,0.963,2811,0.324,1,0
E02,7141.25,2,0.992,496,0.164,1,0
E99,2106.68,0,0.867,1097,0.151,1,0
E03,462.89,2,0.555,524,0.059,0,0
E01,3107.62,2,0.638,1600,0.97,0,0
E99,1655.65,0,0.603,1099,0.666,1,0
E03,4018.31,0,0.325,2941,0.352,1,0
E03,9795.53,0,0.884,2759,0.594,0,1
E01,1892.61,2,0.741,3185,0.632,0,0
E02,3256.85,1,0.71,1488,0.222,1,0
E02,7278.63,1,0.376,1912,0.322,1,1
E99,5140.91,1,0.323,3094,0.564,0,0
E03,534.89,1,0.898,2566,0.839,0,0
E03,1700.73,1,0.344,3417,0.172,0,0
E02,9358.97,0,0.259,3531,0.857,1,0
E01,1121.33,1,0.7,272,0.622,0,1
E02,6387.42,0,0.763,846,0.51,1,1
E01,7944.02,2,0.296,2559,0.185,1,0
E03,2727.85,0,0.365,354,0.567,0,0
E03,7278.27,0,0.831,307,0.382,0,0
E03,1781.96,1,0.944,495,0.228,1,0
E02,2919.03,1,0.581,259,0.877,1,1
E99,3187.04,1,0.834,2396,0.483,0,0
E99,9964.71,2,0.456,993,0.125,1,0
E03,2224.27,2,0.763,3393,0.334,0,0
E01,1379.15,1,0.646,366,0.221,0,0
E02,9264.35,2,0.875,1643,0.933,0,0
E01,1703.11,1,0.821,2387,0.278,0,0
E01,8804.87,0,0.427,1297,0.526,0,1
E03,6539.52,0,0.32,2578,0.751,1,1
E03,5810.93,0,0.846,3025,0.199,0,0
E99,7538.25,0,0.226,2301,0.461,1,0
E01,7287.39,2,0.743,2184,0.664,0,1
E02,1194.21,1,0.581,2071,0.879,1,1
E02,9994.71,1,0.26,3576,0.665,1,1
E01,9424.71,1,0.751,2812,0.125,0,0
E01,8976.26,0,0.586,217,0.352,0,0
E02,6260.66,2,0.888,2781,0.38,1,1
E01,5275.63,0,0.367,594,0.415,1,1
E03,5409.16,1,0.202,3133,0.935,0,0
E02,247.88,2,0.304,1168,0.084,0,0
E03,5044.75,2,0.416,2495,0.334,0,0
E03,6275.32,1,0.722,2659,0.513,1,0
E01,6621.19,2,0.49,1281,0.131,1,1
E03,3388.18,0,0.295,3468,0.505,0,0
E03,4765.7,0,0.985,1889,0.151,1,0
